Дата,Средняя температура,Город
12.11.2016,4.1,Paris
13.11.2016,8.3,Paris
14.11.2016,7.7,Paris
15.11.2016,10.8,Paris
16.11.2016,12.4,Paris
17.11.2016,12.0,Paris
18.11.2016,9.2,Paris
19.11.2016,6.9,Paris
20.11.2016,11.2,Paris
21.11.2016,12.3,Paris
22.11.2016,10.5,Paris
23.11.2016,11.9,Paris
24.11.2016,11.1,Paris
25.11.2016,8.8,Paris
26.11.2016,9.6,Paris
27.11.2016,7.7,Paris
28.11.2016,4.8,Paris
29.11.2016,1.5,Paris
30.11.2016,1.8,Paris
01.12.2016,2.5,Paris
02.12.2016,5.9,Paris
03.12.2016,5.4,Paris
04.12.2016,2.4,Paris
05.12.2016,4.4,Paris
06.12.2016,5.3,Paris
07.12.2016,5.4,Paris
08.12.2016,4.9,Paris
09.12.2016,6.1,Paris
10.12.2016,4.3,Paris
11.12.2016,8.3,Paris
12.12.2016,5.0,Paris
13.12.2016,7.2,Paris
14.12.2016,6.2,Paris
15.12.2016,5.3,Paris
16.12.2016,8.1,Paris
17.12.2016,5.8,Paris
18.12.2016,3.6,Paris
19.12.2016,4.8,Paris
20.12.2016,4.6,Paris
21.12.2016,4.4,Paris
22.12.2016,7.8,Paris
23.12.2016,4.9,Paris
24.12.2016,8.3,Paris
25.12.2016,9.5,Paris
26.12.2016,9.8,Paris
27.12.2016,4.8,Paris
28.12.2016,4.0,Paris
29.12.2016,0.8,Paris
30.12.2016,-1.4,Paris
02.01.2017,1.7,Paris
03.01.2017,1.4,Paris
04.01.2017,4.3,Paris
05.01.2017,3.8,Paris
06.01.2017,-0.4,Paris
07.01.2017,-0.7,Paris
08.01.2017,6.6,Paris
09.01.2017,6.7,Paris
10.01.2017,6.5,Paris
11.01.2017,8.1,Paris
12.01.2017,6.8,Paris
13.01.2017,3.7,Paris
14.01.2017,3.3,Paris
15.01.2017,2.2,Paris
16.01.2017,2.1,Paris
17.01.2017,-1.2,Paris
18.01.2017,-1.6,Paris
19.01.2017,-1.4,Paris
20.01.2017,-1.1,Paris
21.01.2017,-1.2,Paris
22.01.2017,1.1,Paris
23.01.2017,-0.4,Paris
24.01.2017,0.3,Paris
25.01.2017,-0.6,Paris
26.01.2017,-1.4,Paris
27.01.2017,4.6,Paris
28.01.2017,7.7,Paris
29.01.2017,5.3,Paris
30.01.2017,9.4,Paris
31.01.2017,11.3,Paris
01.02.2017,10.6,Paris
02.02.2017,10.3,Paris
03.02.2017,8.7,Paris
04.02.2017,6.1,Paris
